# =================================================================================================================================
* <<<< AISC Rolled Shape Library >>>>
* =================================================================================================================================
* Revision Log:
* 5/21/96 Original from WSDOT
*
         Mass    Area        Ixx       Depth    tw      bf
Name    kg/m^3   mm^2        mm^4        mm     mm      mm
=======  ====  =======  ============  ======  ======  ======
W44X285   424    54064    10.239e+09    1118      26     297
W44X248   369    46968     8.907e+09    1108      22     296
W44X224   333    42452     7.991e+09    1100      20     302
W44X198   295    37419     6.951e+09    1090      18     297
W40X328   488    62193    11.155e+09    1016      23     457
W40X298   443    56516    10.072e+09    1008      21     456
W40X268   399    50839     8.948e+09    1000      19     453
W40X244   363    46258     7.991e+09     992      18     448
W40X221   329    41806     6.909e+09     982      18     449
W40X192   286    36452     5.619e+09     970      18     451
W40X655   975   123871    23.517e+09    1108      50     432
W40X593   882   112258    20.978e+09    1092      45     427
W40X531   790   100645    18.439e+09    1075      41     414
W40X480   714    90322    16.441e+09    1062      37     416
W40X436   649    82580    14.734e+09    1050      34     415
W40X397   591    74839    13.319e+09    1040      31     414
W40X362   539    68387    12.029e+09    1030      28     408
W40X324   482    61484    10.655e+09    1020      25     405
W40X297   442    56387     9.656e+09    1012      24     402
W40X277   412    52452     9.115e+09    1008      21     400
W40X249   371    47290     8.116e+09    1000      19     397
W40X215   320    40839     6.951e+09     990      17     403
W40X199   296    37677     6.201e+09     982      17     400
W40X183   272    34645     5.535e+09     990      17     297
W40X167   249    31677     4.828e+09     980      17     302
W40X149   222    28258     4.070e+09     970      16     299
W36X848  1262   160645    28.054e+09    1078      64     460
W36X798  1188   150967    26.056e+09    1066      60     458
W36X720  1071   136129    23.017e+09    1046      55     456
W36X650   967   122580    20.353e+09    1028      50     450
W36X588   875   110968    18.106e+09    1012      45     443
W36X527   784    99355    15.941e+09     996      41     443
W36X485   722    91613    14.443e+09     984      38     436
W36X439   653    82580    12.903e+09     972      35     434
W36X393   585    74193    11.446e+09     960      31     425
W36X359   534    67742    10.322e+09     950      28     429
W36X328   488    62193     9.365e+09     942      26     423
W36X300   446    56968     8.449e+09     933      24     427
W36X280   417    53161     7.866e+09     928      22     423
W36X260   387    49355     7.200e+09     921      21     417
W36X245   365    46516     6.701e+09     916      20     418
W36X230   342    43613     6.243e+09     912      19     416
W36X256   381    48645     6.992e+09     951      24     308
W36X232   345    43935     6.243e+09     943      22     311
W36X210   313    39871     5.494e+09     932      21     311
W36X194   289    36774     5.036e+09     927      19     307
W36X182   271    34581     4.703e+09     923      18     306
W36X170   253    32258     4.370e+09     919      17     307
W36X160   238    30323     4.058e+09     915      17     306
W36X150   223    28516     3.762e+09     911      16     306
W36X135   201    25613     3.246e+09     903      15     305
W33X619   921   116774    17.398e+09     977      50     432
W33X567   844   107097    15.691e+09     963      46     432
W33X515   766    97419    14.027e+09     949      42     425
W33X468   696    88387    12.528e+09     935      39     415
W33X424   631    80000    11.196e+09     923      35     416
W33X387   576    72903    10.114e+09     913      32     417
W33X354   527    67097     9.115e+09     903      29     403
W33X318   473    60322     8.116e+09     893      26     403
W33X291   433    55226     7.367e+09     885      24     404
W33X263   391    49935     6.576e+09     877      22     399
W33X241   359    45742     5.910e+09     868      21     405
W33X221   329    41935     5.327e+09     862      20     402
W33X201   299    38129     4.786e+09     855      18     397
W33X169   251    31935     3.866e+09     859      17     291
W33X152   226    28839     3.396e+09     851      16     295
W33X141   210    26839     3.100e+09     846      15     293
W33X130   193    24710     2.792e+09     840      15     291
W33X118   176    22387     2.455e+09     835      14     293
W30X581   865   109677    13.735e+09     899      50     414
W30X526   783    99355    12.195e+09     883      45     410
W30X477   710    90322    10.863e+09     869      41     405
W30X433   644    81935     9.656e+09     855      38     395
W30X391   582    73548     8.615e+09     843      35     397
W30X357   531    67097     7.741e+09     833      31     398
W30X326   485    61742     6.992e+09     823      29     385
W30X292   435    55290     6.201e+09     813      26     385
W30X261   388    49484     5.452e+09     803      24     386
W30X235   350    44516     4.869e+09     795      21     381
W30X211   314    40000     4.287e+09     786      20     381
W30X191   284    36193     3.816e+09     779      18     379
W30X173   257    32774     3.413e+09     773      17     379
W30X148   220    28064     2.780e+09     779      17     264
W30X132   196    25097     2.401e+09     770      16     269
W30X124   185    23548     2.231e+09     766      15     269
W30X116   173    22064     2.052e+09     762      14     268
W30X108   161    20452     1.860e+09     758      14     266
W30X99    147    18774     1.660e+09     753      13     265
W30X90    134    17032     1.506e+09     750      12     263
W27X539   802   101935    10.613e+09     826      50     396
W27X494   735    93548     9.531e+09     812      46     382
W27X448   667    84516     8.491e+09     798      42     380
W27X407   606    76774     7.533e+09     784      39     373
W27X368   548    69677     6.701e+09     772      35     378
W27X336   500    63677     6.035e+09     762      32     371
W27X307   457    58193     5.452e+09     752      29     372
W27X281   418    53290     4.953e+09     744      27     363
W27X258   384    48839     4.495e+09     736      25     360
W27X235   350    44581     4.020e+09     728      23     360
W27X217   323    41161     3.691e+09     722      21     358
W27X194   289    36774     3.254e+09     714      19     354
W27X178   265    33742     2.909e+09     706      18     357
W27X161   240    30581     2.613e+09     701      17     357
W27X146   217    27677     2.343e+09     695      15     357
W27X129   192    24387     1.981e+09     702      15     251
W27X114   170    21613     1.702e+09     693      14     255
W27X102   152    19355     1.506e+09     688      13     253
W27X94    140    17871     1.361e+09     684      12     254
W27X84    125    16000     1.186e+09     678      12     254
W24X492   732    92903     7.950e+09     753      50     360
W24X450   670    85161     7.117e+09     739      46     349
W24X408   607    76774     6.285e+09     725      42     349
W24X370   551    69677     5.577e+09     711      39     345
W24X335   499    63484     4.953e+09     699      35     340
W24X306   455    57935     4.453e+09     689      32     336
W24X279   415    52903     3.995e+09     679      29     340
W24X250   372    47419     3.533e+09     669      26     336
W24X229   341    43355     3.184e+09     661      24     334
W24X207   308    39161     2.838e+09     653      22     327
W24X192   286    36323     2.605e+09     647      21     326
W24X176   262    33355     2.364e+09     641      19     327
W24X162   241    30774     2.151e+09     635      18     328
W24X146   217    27742     1.906e+09     628      17     327
W24X131   195    24839     1.673e+09     622      15     327
W24X117   174    22194     1.473e+09     616      14     324
W24X104   155    19742     1.290e+09     611      13     324
